crime_type_id,crime_type,total_occurrences
1,ARSON,513
2,ASSAULT,22631
3,BATTERY,44252
4,BURGLARY,7489
5,CONCEALED CARRY LICENSE VIOLATION,205
6,CRIMINAL DAMAGE,30094
7,CRIMINAL SEXUAL ASSAULT,1682
8,CRIMINAL TRESPASS,4722
9,DECEPTIVE PRACTICE,17508
10,GAMBLING,15
11,HOMICIDE,638
12,HUMAN TRAFFICKING,12
13,INTERFERENCE WITH PUBLIC OFFICER,586
14,INTIMIDATION,237
15,KIDNAPPING,139
16,LIQUOR LAW VIOLATION,186
17,MOTOR VEHICLE THEFT,29256
18,NARCOTICS,5455
19,NON-CRIMINAL,3
20,OBSCENITY,42
21,OFFENSE INVOLVING CHILDREN,1751
22,OTHER NARCOTIC VIOLATION,2
23,OTHER OFFENSE,15730
24,PROSTITUTION,209
25,PUBLIC INDECENCY,6
26,PUBLIC PEACE VIOLATION,862
27,ROBBERY,11050
28,SEX OFFENSE,1365
29,STALKING,531
30,THEFT,57509
31,WEAPONS VIOLATION,8608
