activity_date,opened_requests,closed_requests,backlog_end_of_day
2023-01-01,2127,1382,745
2023-01-02,3196,2067,1874
2023-01-03,4890,3439,3325
2023-01-04,5204,4209,4320
2023-01-05,4604,3931,4993
2023-01-06,4875,4263,5605
2023-01-07,1526,1267,5864
2023-01-08,2493,1846,6511
2023-01-09,7533,4666,9378
2023-01-10,5437,4597,10218
2023-01-11,4786,4228,10776
2023-01-12,3329,3353,10752
2023-01-13,0,1120,9632
2023-01-14,0,60,9572
2023-01-15,0,26,9546
2023-01-16,0,56,9490
2023-01-17,0,652,8838
2023-01-18,0,561,8277
2023-01-19,0,424,7853
2023-01-20,0,299,7554
2023-01-21,0,102,7452
2023-01-22,0,9,7443
2023-01-23,0,327,7116
2023-01-24,0,277,6839
2023-01-25,0,134,6705
2023-01-26,0,189,6516
2023-01-27,0,154,6362
2023-01-28,0,11,6351
2023-01-29,0,4,6347
2023-01-30,0,146,6201
2023-01-31,0,213,5988
2023-02-01,0,87,5901
2023-02-02,0,77,5824
2023-02-03,0,42,5782
2023-02-04,0,87,5695
2023-02-05,0,8,5687
2023-02-06,0,89,5598
2023-02-07,0,75,5523
2023-02-08,0,90,5433
2023-02-09,0,38,5395
2023-02-10,0,31,5364
2023-02-11,0,38,5326
2023-02-13,0,24,5302
2023-02-14,0,79,5223
2023-02-15,0,58,5165
2023-02-16,0,44,5121
2023-02-17,0,36,5085
2023-02-18,0,9,5076
2023-02-20,0,135,4941
2023-02-21,0,162,4779
2023-02-22,0,223,4556
2023-02-23,0,120,4436
2023-02-24,0,140,4296
2023-02-25,0,14,4282
2023-02-26,0,4,4278
2023-02-27,0,68,4210
2023-02-28,0,19,4191
2023-03-01,0,13,4178
2023-03-02,0,7,4171
2023-03-03,0,12,4159
2023-03-04,0,14,4145
2023-03-07,0,24,4121
2023-03-08,0,20,4101
2023-03-09,0,20,4081
2023-03-10,0,40,4041
2023-03-11,0,9,4032
2023-03-13,0,28,4004
2023-03-14,0,40,3964
2023-03-15,0,18,3946
2023-03-16,0,48,3898
2023-03-17,0,9,3889
2023-03-18,0,19,3870
2023-03-20,0,12,3858
2023-03-21,0,35,3823
2023-03-22,0,11,3812
2023-03-23,0,14,3798
2023-03-24,0,20,3778
2023-03-25,0,68,3710
2023-03-27,0,11,3699
2023-03-28,0,12,3687
2023-03-29,0,32,3655
2023-03-30,0,12,3643
2023-03-31,0,22,3621
2023-04-01,0,13,3608
2023-04-03,0,19,3589
2023-04-04,0,14,3575
2023-04-05,0,11,3564
2023-04-06,0,7,3557
2023-04-07,0,11,3546
2023-04-08,0,29,3517
2023-04-10,0,10,3507
2023-04-11,0,2,3505
2023-04-12,0,16,3489
2023-04-13,0,9,3480
2023-04-14,0,20,3460
2023-04-15,0,35,3425
2023-04-16,0,1,3424
2023-04-17,0,3,3421
2023-04-18,0,11,3410
2023-04-19,0,18,3392
2023-04-20,0,11,3381
2023-04-21,0,6,3375
2023-04-22,0,1,3374
